strain	accession	subtype	date	host	country	region	species	broad	order
A/swine/Minnesota/A02711696/2022	ON427094	H3N2	2022-02-07	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02711714/2022	ON427104	H3N2	2022-03-30	Swine	Usa	?	Swine	swine	Swine
A/swine/Texas/A02636569/2022	ON306644	H3N2	2022-03-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02636561/2021	ON110294	H3N2	2021-03-08	Swine	Usa	?	Swine	swine	Swine
A/swine/Pennsylvania/A02636531/2022	ON045372	H3N2	2022-02-28	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02636519/2022	ON045408	H3N2	2022-02-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636495/2022	OM978850	H3N2	2022-02-16	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02636487/2022	OM978854	H3N2	2022-02-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636490/2022	OM978856	H3N2	2022-02-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636493/2022	OM978876	H3N2	2022-02-15	Swine	Usa	?	Swine	swine	Swine
A/RuddyTurnstone/Delaware/193/2021	OM965781	H3N2	2021-06-01	?	Usa	?	?	?	?
A/duck/Bangladesh/46090/2020	OM938300	H3N2	2020-10-22	Avian	Bangladesh	?	Duck	duck	Anseriformes
A/swine/Iowa/A02636448/2022	OM935891	H3N2	2022-01-28	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02636368/2022	OM865150	H3N2	2022-01-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636382/2022	OM865162	H3N2	2022-01-12	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02636370/2022	OM865212	H3N2	2022-01-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636396/2022	OM865232	H3N2	2022-01-27	Swine	Usa	?	Swine	swine	Swine
A/swine/Italy/1034/2020	MW244304	H3N2	2020-01-03	Swine	Italy	?	Swine	swine	Swine
A/swine/Italy/124375/2020	MW244305	H3N2	2020-05-07	Swine	Italy	?	Swine	swine	Swine
A/swine/Italy/56910/2020	MW244308	H3N2	2020-02-14	Swine	Italy	?	Swine	swine	Swine
A/swine/Italy/75697/2020	MW244309	H3N2	2020-03-02	Swine	Italy	?	Swine	swine	Swine
A/SouthKorea/MDCK/2020	OM679367	H3N2	2020-12-14	Human	South korea	?	Human	human	Human
A/swine/Iowa/A02636296/2021	OM504685	H3N2	2021-09-30	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02636322/2021	OM504687	H3N2	2021-09-27	Swine	Usa	?	Swine	swine	Swine
A/Pennsylvania/01/2021	OM405821	H3N2	2021-03-19	Human	Usa	?	Human	human	Human
A/swine/Minnesota/A02246907/2021	OM315080	H3N2	2021-12-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Michigan/A02246908/2021	OM315100	H3N2	2021-12-30	Swine	Usa	?	Swine	swine	Swine
A/duck/Vietnam/HN6617/2020	MW872800	H3N2	2020-09-29	Avian	Viet nam	?	Duck	duck	Anseriformes
A/duck/Vietnam/HN6479/2020	MW872910	H3N2	2020-07-29	Avian	Viet nam	?	Duck	duck	Anseriformes
A/Muscovyduck/Vietnam/HN6220/2020	MW872988	H3N2	2020-04-03	Avian	Viet nam	?	Duck	duck	Anseriformes
A/duck/Vietnam/HN6425/2020	MW873033	H3N2	2020-07-03	Avian	Viet nam	?	Duck	duck	Anseriformes
A/duck/Vietnam/HN6569/2020	MW873047	H3N2	2020-09-04	Avian	Viet nam	?	Duck	duck	Anseriformes
A/Muscovyduck/Vietnam/QN6305/2020	MW873329	H3N2	2020-05-22	Avian	Viet nam	?	Duck	duck	Anseriformes
A/swine/Chile/VN1401-5054/2020	MZ005227	H3N2	2020-05-11	Swine	Chile	?	Swine	swine	Swine
A/swine/Kansas/A02246982/2021	OL840592	H3N2	2021-10-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02246983/2021	OL840602	H3N2	2021-10-25	Swine	Usa	?	Swine	swine	Swine
A/France/IHUMI_InfluenzaAH3N2_genome_60678_4/2021	OL423271	H3N2	2021-07-XX	Human	France	?	Human	human	Human
A/swine/Iowa/A02248201/2021	OL331036	H3N2	2021-09-27	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02636172/2021	OL331224	H3N2	2021-09-16	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02636185/2021	OL331232	H3N2	2021-09-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02636183/2021	OL331238	H3N2	2021-09-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Spain/44579-1/2020	MW848761	H3N2	2020-05-18	Swine	Spain	?	Swine	swine	Swine
A/swine/Iowa/A02636147/2021	OK625345	H3N2	2021-09-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02636129/2021	OK625361	H3N2	2021-09-08	Swine	Usa	?	Swine	swine	Swine
A/swine/Ohio/A02636113/2021	OK384275	H3N2	2021-09-02	Swine	Usa	?	Swine	swine	Swine
A/Spot-billedduck/SouthKorea/KNU2020-105/2020	OK235631	H3N2	2020-10-12	Avian	South korea	?	Duck	duck	Anseriformes
A/Wildduck/SouthKorea/KNU2020-134/2020	OK253021	H3N2	2020-10-13	Avian	South korea	?	Duck	duck	Anseriformes
A/swine/Missouri/A02636044/2021	OK143164	H3N2	2021-08-11	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02636058/2021	OK143172	H3N2	2021-08-16	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02636047/2021	OK143184	H3N2	2021-08-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02636021/2021	OK064052	H3N2	2021-08-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02636000/2021	OK047451	H3N2	2021-07-16	Swine	Usa	?	Swine	swine	Swine
A/Thailand/CU-B36461/2020	MW600331	H3N2	2020-02-04	Human	Thailand	?	Human	human	Human
A/swine/Minnesota/A02248041/2021	MZ892396	H3N2	2021-06-15	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A01378048/2021	MZ750374	H3N2	2021-07-19	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02635941/2021	MZ663753	H3N2	2021-07-02	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02635916/2021	MZ606803	H3N2	2021-06-24	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02635904/2021	MZ606829	H3N2	2021-06-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02635906/2021	MZ606841	H3N2	2021-06-24	Swine	Usa	?	Swine	swine	Swine
A/swine/Illinois/A02525379/2021	MZ305203	H3N2	2021-04-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Michigan/A02635708/2021	MZ305255	H3N2	2021-04-20	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525387/2021	MZ156817	H3N2	2021-03-08	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02525393/2021	MZ156831	H3N2	2021-04-19	Swine	Usa	?	Swine	swine	Swine
A/California/55/2020	MZ046764	H3N2	2020-10-12	Human	Usa	?	Human	human	Human
A/swine/Iowa/A02525306/2021	MW939641	H3N2	2021-03-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525261/2021	MW887575	H3N2	2021-03-16	Swine	Usa	?	Swine	swine	Swine
A/Human/NewYorkCity/PV07994/2020	MW855316	H3N2	2020-03-03	Human	Usa	?	Human	human	Human
A/swine/Pennsylvania/A02525244/2021	MW849236	H3N2	2021-03-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525241/2021	MW849244	H3N2	2021-03-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525184/2021	MW728987	H3N2	2021-02-15	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02525158/2021	MW728993	H3N2	2021-02-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02525176/2021	MW728999	H3N2	2021-02-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02525178/2021	MW729003	H3N2	2021-02-11	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525153/2021	MW729015	H3N2	2021-02-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02525139/2021	MW699519	H3N2	2021-02-03	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02525064/2021	MW576962	H3N2	2021-01-13	Swine	Usa	?	Swine	swine	Swine
A/swine/Kentucky/A02525075/2021	MW576976	H3N2	2021-01-13	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245861/2020	MW580251	H3N2	2020-12-30	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A01812314/2020	MW547432	H3N2	2020-12-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02525044/2021	MW547024	H3N2	2021-01-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02525036/2020	MW547026	H3N2	2020-12-30	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245828/2020	MW493868	H3N2	2020-12-11	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02245817/2020	MW430364	H3N2	2020-11-23	Swine	Usa	?	Swine	swine	Swine
A/swine/SouthDakota/A02524914/2020	MW377222	H3N2	2020-11-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/29545/2020	MW361499	H3N2	2020-04-13	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/31877/2020	MW361501	H3N2	2020-04-21	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02524874/2020	MW338874	H3N2	2020-11-05	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02524878/2020	MW338902	H3N2	2020-11-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02524889/2020	MW338912	H3N2	2020-11-10	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245763/2020	MW317208	H3N2	2020-10-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245776/2020	MW317218	H3N2	2020-11-02	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02524799/2020	MW320439	H3N2	2020-10-27	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02524819/2020	MW290379	H3N2	2020-10-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Pennsylvania/A02524832/2020	MW290381	H3N2	2020-10-29	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02524755/2020	MW266885	H3N2	2020-10-15	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02524769/2020	MW266899	H3N2	2020-10-22	Swine	Usa	?	Swine	swine	Swine
A/swine/Oklahoma/A02245759/2020	MW240517	H3N2	2020-10-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02524710/2020	MW204487	H3N2	2020-10-07	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02245740/2020	MW205515	H3N2	2020-10-09	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245736/2020	MW205519	H3N2	2020-10-08	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02245746/2020	MW205533	H3N2	2020-10-14	Swine	Usa	?	Swine	swine	Swine
A/swine/Oklahoma/A02245730/2020	MW181612	H3N2	2020-10-01	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02524672/2020	MW173178	H3N2	2020-09-24	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02524685/2020	MW173196	H3N2	2020-10-01	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02524613/2020	MW072889	H3N2	2020-09-10	Swine	Usa	?	Swine	swine	Swine
A/Hawaii/28/2020_H3N2v	MW024906	H3N2v	2020-07-01	Human	Usa	?	Human	human	Human
A/swine/Minnesota/A02245699/2020	MW022524	H3N2	2020-08-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Nebraska/A02524569/2020	MW023631	H3N2	2020-08-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02524572/2020	MW023637	H3N2	2020-08-26	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245690/2020	MT952458	H3N2	2020-08-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Michigan/A02524482/2020	MT814317	H3N2	2020-07-09	Swine	Usa	?	Swine	swine	Swine
A/Minnesota/23/2020	MT808150	H3N2	2020-03-20	Human	Usa	?	Human	human	Human
A/Louisiana/14/2020	MT659264	H3N2	2020-02-04	Human	Usa	?	Human	human	Human
A/Montana/07/2020	MT622937	H3N2	2020-01-15	Human	Usa	?	Human	human	Human
A/California/16/2020	MT622945	H3N2	2020-01-21	Human	Usa	?	Human	human	Human
A/swine/Iowa/A02479355/2020	MT596908	H3N2	2020-05-18	Swine	Usa	?	Swine	swine	Swine
A/Minnesota/21/2020	MT582266	H3N2	2020-03-07	Human	Usa	?	Human	human	Human
A/swine/Minnesota/A02245641/2020	MT579642	H3N2	2020-05-11	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245638/2020	MT579648	H3N2	2020-05-06	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A02479308/2020	MT554117	H3N2	2020-05-04	Swine	Usa	?	Swine	swine	Swine
A/swine/Indiana/A01812305/2020	MT522621	H3N2	2020-04-24	Swine	Usa	?	Swine	swine	Swine
A/swine/Utah/A02479278/2020	MT505274	H3N2	2020-04-21	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02479268/2020	MT476193	H3N2	2020-04-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Missouri/A02479196/2020	MT385387	H3N2	2020-04-02	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245583/2020	MT372542	H3N2	2020-04-07	Swine	Usa	?	Swine	swine	Swine
A/Connecticut/13/2020	MT342042	H3N2	2020-02-19	Human	Usa	?	Human	human	Human
A/swine/Iowa/A02479137/2020	MT319769	H3N2	2020-03-18	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02479159/2020	MT319777	H3N2	2020-03-23	Swine	Usa	?	Swine	swine	Swine
A/swine/Texas/A02245516/2020	MT318329	H3N2	2020-02-27	Swine	Usa	?	Swine	swine	Swine
A/swine/Oklahoma/A02479121/2020	MT277370	H3N2	2020-03-06	Swine	Usa	?	Swine	swine	Swine
A/California/07/2020	MT245310	H3N2	2020-01-06	Human	Usa	?	Human	human	Human
A/NorthCarolina/02/2020	MT245946	H3N2	2020-01-15	Human	Usa	?	Human	human	Human
A/swine/Iowa/A02479069/2020	MT232768	H3N2	2020-02-17	Swine	Usa	?	Swine	swine	Swine
A/swine/Illinois/A02479065/2020	MT232778	H3N2	2020-02-12	Swine	Usa	?	Swine	swine	Swine
A/swine/Minnesota/A02245422/2020	MT232801	H3N2	2020-02-24	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02245413/2020	MT154185	H3N2	2020-02-06	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02479041/2020	MT121015	H3N2	2020-02-06	Swine	Usa	?	Swine	swine	Swine
A/swine/Iowa/A02479053/2020	MT121017	H3N2	2020-02-07	Swine	Usa	?	Swine	swine	Swine
A/swine/NorthCarolina/A02245396/2020	MT052154	H3N2	2020-01-21	Swine	Usa	?	Swine	swine	Swine
A/swine/Kansas/A02245376/2020	MT020046	H3N2	2020-01-07	Swine	Usa	?	Swine	swine	Swine
A/layer/China/GT2125/2023	PP077078	H3N3	2023-05-11	Avian	China	?	Chicken	chicken	Galliformes
A/chicken/China/16/2023	OR497662	H3N3	2023-04-XX	Avian	China	?	Chicken	chicken	Galliformes
A/environment/Japan/KU-B11/2020	OR048389	H3N6	2020-11-30	Enviroment	Japan	?	Enviroment	enviroment	Enviroment
A/Duck/Mongolia/2021-MG09/2021	OP704037	H3N6	2021-08-XX	Avian	Mongolia	?	Duck	duck	Anseriformes
A/Common_Teal/Kyoto/NIES187/2021	LC723841	H3N6	2021-XX-XX	Avian	Japan	?	?	?	?
A/mallard/NewYork/AH0179427/2021	OL539615	H3N6	2021-09-08	Avian	Usa	?	Duck	duck	Anseriformes
A/chicken/Jiangsu/CKJS03/2022	OP024217	H3N8	2022-05-XX	Avian	China	?	Chicken	chicken	Galliformes
A/Donkey/Nigeria/249/2022	OR775767	H3N8	2022-01-XX	Horse	Nigeria	?	Horse	horse	Horse
A/Duck/Doitlake/38/2022	OR668538	H3N8	2022-05-01	Avian	Mongolia	?	Duck	duck	Anseriformes
A/chicken/Dongguan/14/2022	OQ291629	H3N8	2022-02-22	Avian	China	?	Chicken	chicken	Galliformes
A/chicken/Dongguan/40/2022	OQ291709	H3N8	2022-02-22	Avian	China	?	Chicken	chicken	Galliformes
A/chicken/Dongguan/584/2022	OQ291805	H3N8	2022-03-22	Avian	China	?	Chicken	chicken	Galliformes
A/chicken/Dongguan/876/2022	OQ291853	H3N8	2022-04-19	Avian	China	?	Chicken	chicken	Galliformes
A/chicken/Huizhou/209/2022	OQ292037	H3N8	2022-02-16	Avian	China	?	Chicken	chicken	Galliformes
A/chicken/Shantou/1/2022	OQ292709	H3N8	2022-01-06	Avian	China	?	Chicken	chicken	Galliformes
A/chicken/Shantou/5632/2021	OQ293037	H3N8	2021-10-21	Avian	China	?	Chicken	chicken	Galliformes
A/chicken/Shantou/6103/2021	OQ293085	H3N8	2021-11-17	Avian	China	?	Chicken	chicken	Galliformes
A/duck/Guangxi/3846/2020	OQ293413	H3N8	2020-12-01	Avian	China	?	Duck	duck	Anseriformes
A/equine/California/3/2020	OQ426540	H3N8	2020-10-26	Horse	Usa	?	Horse	horse	Horse
A/Environment/Alberta/171/2022	OQ413795	H3N8	2022-08-21	Enviroment	Canada	?	Enviroment	enviroment	Enviroment
A/Mallard/Alberta/56/2022	OQ362171	H3N8	2022-08-20	Avian	Canada	?	Duck	duck	Anseriformes
A/equine/Kazakhstan/Almaty/268/2022	OQ244418	H3N8	2020-06-XX	Horse	Kazakhstan	?	Horse	horse	Horse
A/Mallard/Alberta/362/2022	OP806406	H3N8	2022-08-22	Avian	Canada	?	Duck	duck	Anseriformes
A/Mallard/Alberta/500/2021	OP723704	H3N8	2021-08-26	Avian	Canada	?	Duck	duck	Anseriformes
A/Duck/Mongolia/2021-MG11/2021	OP704097	H3N8	2021-08-XX	Avian	Mongolia	?	Duck	duck	Anseriformes
A/Duck/Mongolia/2021-MG04/2021	OP658931	H3N8	2021-05-01	Avian	Mongolia	?	Duck	duck	Anseriformes
A/China/ZMD-22-2/2022	ON342803	H3N8	2022-04-XX	Human	China	?	Human	human	Human
A/Anserfabalis/China/D338/2020	OP341272	H3N8	2020-10-XX	?	China	?	?	?	?
A/duck/Chernogolovka/5908/2021	OP135951	H3N8	2021-11-07	Avian	Russia	?	Duck	duck	Anseriformes
A/China/CSKFQ-22-5/2022	ON627818	H3N8	2022-05-XX	Human	China	?	Human	human	Human
A/MongolianHorse/China/Jilin1021/2021	ON652015	H3N8	2021-10-10	Horse	China	?	Horse	horse	Horse
A/green-wingedteal/Alaska/AK20-372/2020	MW873630	H3N8	2020-09-24	?	Usa	?	?	?	?
A/green-wingedteal/Alaska/AK20-528/2020	MW873654	H3N8	2020-10-22	?	Usa	?	?	?	?
A/northernpintail/Alaska/AK20-434/2020	MW873800	H3N8	2020-10-06	?	Usa	?	?	?	?
A/northernpintail/Alaska/AK20-463/2020	MW873808	H3N8	2020-10-09	?	Usa	?	?	?	?
A/Mallard/SouthKorea/KNU2021-17/2021	ON495688	H3N8	2021-02-15	Avian	South korea	?	Duck	duck	Anseriformes
A/RuddyTurnstone/Delaware/448/2021	OM966187	H3N8	2021-06-01	?	Usa	?	?	?	?
A/mallard/Alaska/AH0185243/2021	OL467052	H3N8	2021-08-19	Avian	Usa	?	Duck	duck	Anseriformes
A/cinnamonteal/Utah/AH0166335/2021	OL423679	H3N8	2021-08-06	Avian	Usa	?	?	?	?
A/Wildduck/SouthKorea/KNU2020-104/2020	OK236003	H3N8	2020-10-07	Avian	South korea	?	Duck	duck	Anseriformes
A/Blue-WingedTeal/Alberta/1/2020	MZ171341	H3N8	2020-09-02	?	Canada	?	?	?	
